A.M.; n.午前; 上午
AID, n.艾滋病
Afric, n.非洲
Africa, a.非洲的; 非洲人的
Americ, n.美国; 美洲
America, a.美国的; 美国人的
Antarcti, a.南极的
Antarctic, n.南极洲
Apri, n.4月
Ara, a.阿拉伯的
Arabi, a.阿拉伯语的
Arcti, a.北极的
Asi, n.亚洲
Asia, a.亚洲的
Atlanti, a.大西洋的
Augus, n.8月
Australi, n.澳洲; 澳大利亚
Australia, a.澳洲的; 澳大利亚人的
B, n.公元前
Belgiu, n.比利时
Britai, n.英国; 不列颠
Britis, a.英国的; 大不列颠的; 英国人的
Buddhis, n.佛教
Buddhis, n.佛教徒
C, 光盘
CD-RO, 信息储存光盘
Canad, n.加拿大
Canadia, a.加拿大的; 加拿大人的
Cheeru, 振作起来！提起精神！
Chin, n.中国
Chines, a.中国的; 中国人的; 中国话的; 汉语的
Christia, n.基督教徒和天主教徒的总称
Christma, n.圣诞节
Christmas Ev, 圣诞夜
Christmas car, 圣诞卡
Christmas tre, 圣诞树
DV, 数码影碟
Decembe, n.12月
D, n.医生; 大夫; 博士
Dynami, a.充满活力;精力充沛的
Dynast, n.王朝; 朝代
Easte, n.复活节
Egyp, n.埃及
Egyptia, a.埃及的; 埃及人的; 埃及语的
Englan, n.英格兰
Englis, a.英国的; 英国人的; 英语的
English-speakin, a.说英语的
Europ, n.欧洲
Europea, a.欧洲的; 欧洲人的
Februar, n.2月
Franc, n.法国
Frenc, n.法语
Frenchma, n.法国人
Frida, n.星期五
Germa, a.德国的; 德国人的; 德语的
German, n.德国
Greec, n.希腊
Gree, a.&n.希腊的; 希腊人的; 希腊语的;希腊人; 希腊语
HongKon, n.香港
, pron.我
Icelan, n.冰岛
Indi, n.印度
India, a.印地安人的; 印度人的
Indicat, v.表明; 象征; 暗示
Irelan, n.爱尔兰
Iris, a.爱尔兰的; 爱尔兰人的
Italia, a.意大利的; 意大利语的
Ital, n.意大利
Januar, n.1月
Japa, n.日本
Japanes, a.日本的; 日本人的; 日语的
Jul, n.7月
Jun, n.6月
Londo, n.伦敦
Los, 失物招领处
Marc, n.3月
Ma, n.5月
Mexica, a.墨西哥的
Mexic, n.墨西哥
MiddleEas, n.中东
Miss.; n.小姐;女士
Mo, n.妈妈
Monda, n.星期一
Mosco, n.莫斯科
Mosle, n.伊斯兰教徒;回教徒
Mosquit, n.蚊子
Mr.; n.先生
Mrs.; n.夫人;太太
Ms.; n.女士
NewYor, n.纽约
NewZealan, n.新西兰
NewZealande, n.新西兰人
No.; n.数字;号码
Novembe, n.11月
O, ad.好;对;不错
Oceani, n.大洋洲
Octobe, n.10月
Olympi, a.&n.奥林匹克
OlympicGame, n.奥运会
Ottaw, n.渥太华
P.C.; “＝”personalcomputer个人电脑
P.E.; “＝”physicaleducation体育
P.M.; n.下午;午后
P, n.下午;午后
Pacifi, a.太平洋的
Pari, n.巴黎
Russi, n.俄罗斯; 俄国
Russia, a.俄国人的; 俄语的
Saturda, n.星期六
Scotlan, n.苏格兰
Scottis, a.苏格兰的
Scratc, v.&n.划破; 划痕; 划伤
Septembe, n.9月
Shangha, n.上海
Spai, n.西班牙
Spanis, a.西班牙人的; 西班牙的; 西班牙语的
Sunda, n.星期日
Swis, a.瑞士人的
Switzerlan, n.瑞士
T-shir, n.T恤衫
TRU, a.真的; 真实的; 忠诚的
T, n.电视机
Thursda, n.星期四
Tibe, n.西藏
Tibet, n.西藏人; 西藏语
Toky, n.东京
Tuesda, n.星期二
U.K.&U, n.英国; 联合王国
U.N.; n.联合国
U.S.A.; n.美国
VC, n.影碟光盘
Wednesda, n.星期三
X-ra, n.X射线; X光
, art.一
abando, v.抛弃; 舍弃; 放弃
abilit, n.能力; 才能
abl, a.能够; 有能力的
abnorma, a.反常的; 变态的
aboar, prep.上
abolis, v.废除; 废止
abortio, v.人工流产; 堕胎
abou, ad.大约; 到处; 四处
abov, prep.在……上面
abroa, ad.到国外
abrup, a.突然的; 意外的; 粗鲁
absenc, n.不在; 缺席
absen, a.缺席; 不在
absolut, a.完全; 全部; 绝对的
absor, v.吸收; 使全神贯注
abstrac, a.&n.抽象的
absur, a.荒谬的; 怪诞不经的
abundan, a.大量;丰盛的;充裕的
abus, v.滥用;虐待;恶语
academi, a.&n.学术的; 教学的
academ, n.专科学院;私立学校
acanopene, 开罐器
accelerat, v.加速; 加快
accen, n.口音; 音调
accep, vt.接受
acces, n.&v.通道;入径;存取
accessibl, a.可到达的; 可接受的; 易相处的
acciden, n.事故; 意外的事
accommodatio, n.住宿; 膳宿
accompan, v.陪同; 陪伴; 与…同时发生
accomplis, v.完成
accordingt, ad.按照; 根据
accoun, n.账目;描述
accountan, n.会计; 会计师
accumulat, v.积累; 积聚
accurac, n.准确; 精确
accus, v.正确无误的;精确的
accustome, a.习惯于;惯常的
ach, vi.&n.痛; 疼痛
achiev, vt.达到; 取得
achievemen, n.成就;成绩;功绩
aci, a.酸的
acknowledg, v.承认
acquaintanc, n.熟人; 认识
acquir, v.获得; 得到
acquisitio, n.获得; 得到
acr, n.英亩
acros, prep.横过; 穿过
ac, n.法令; 条例
actio, n.行动
activ, a.积极的; 主动的
activit, n.活动
acto, n.男演员
actres, n.女演员
actua, a.实际的; 现实的
acut, a.十分严重的;急性的
a, n.广告
ad.; 也
adap, v.使适应; 适合; 改编
adaptatio, n.适应; 改编本
ad, vt.添加; 增加
addicte, a.上瘾; 成瘾; 入迷
additio, n.增加;加
addres, n.地址
adequat, a.合适的; 合乎需要的
adjus, v.调整;调节;适应;习惯
adjustmen, n.调整; 适应
administratio, n.管理;行政部门
admirabl, a.值得赞赏的;可钦佩的
admir, v.钦佩; 羡慕
admissio, n.准入;接纳
admi, vt.承认; 准许
adolescenc, n.青春; 青春期
adolescen, n.青少年
adop, v.收养; 领养
ador, v.热爱; 爱慕某人
adul, n.成年人
advanc, v.推进; 促进; 前进
advantag, n.优点; 好处
adventur, n.冒险; 奇遇
advertis, vt.为……做广告
advertisemen, n.广告
advic, n.忠告; 劝告; 建议
advis, vt.忠告; 劝告; 建议
advocat, v.拥护; 支持; 提倡
aeroplan, n.飞机
affai, n.事; 事情
affec, vt.影响
affectio, n.喜爱; 钟爱
affor, vt.负担得起; 抽得出; 提供
afrai, a.害怕的; 担心
afte, ad.在后; 后来
afternoo, n.下午; 午后
afterwar, ad.后来
agai, ad.再一次; 再; 又
agains, prep.对着; 反对
agarbageca, 垃圾桶
ag, n.年龄; 时代
agenc, n.代理机构
agend, n.议程表; 议事日程
agen, n.代理人; 经济人
aggressio, n.侵略
aggressiv, a.侵略的; 咄咄逼人
ag, ad.以前
agre, v.同意; 应允
agreemen, n.同意; 一致; 协定; 协议
agricultura, a.农业的
agricultur, n.农业; 农学
ahea, ad.在前; 向前
ai, n.援助; 救护; 辅助器具
ai, n.目的; 目标
ai, n.空气; 大气
aircraf, n.飞机
airmai, n.航空邮件
airplan, n.飞机
airpor, n.航空站; 飞机场
airspac, n.领空;空域
alar, n.警报
albu, n.相册; 影集; 集邮簿
alcoho, n.含酒精饮料; 酒
alcoholi, a.&n.含酒精的; 酒鬼
algebr, n.代数
alik, ad.很相似地; 同样地
aliv, a.活着的; 存在的
al, ad.全部地
allergi, a.过敏的; 厌恶
alle, n.小巷; 胡同
allocat, v.拨给;划归;分配…给
allo, vt.允许; 准许
allowanc, n.津贴; 补助
almos, ad.几乎; 差不多
alon, a.单独的; 孤独的
alon, ad.向前; 和…一起; 一同
alongsid, ad.在…旁边;与…同时
alou, ad.大声地
alphabe, n.字母表; 字母
alread, ad.已经
als, ad.也
alternativ, a.可供替代;非传统的
althoug, conj.虽然; 尽管
altitud, n.海拔高度
altogethe, ad.总共
aluminiu, n.铝
alway, ad.总是; 一直; 永远
a, v.be的人称形式之一 
amateu, a.业余爱好的
amaz, v.惊奇; 惊叹; 震惊
amazin, a.惊奇;惊叹的;震惊的
ambassado, n.大使
ambassadres, n.大使
ambiguou, a.模棱两可的
ambitio, n.目标;野心;雄心;抱负
ambulanc, n.救护车
amon, prep.在…中间; 在之间
amoun, n.&v.金额; 数量; 总计
ampl, a.足够的; 丰裕的
amus, vt.快乐; 逗乐
amusemen, n.娱乐
analysi, n.分析; 分析结果
analyz, v.分析
ancesto, n.祖宗; 祖先
ancho, n.锚; 抛锚
ancien, a.古代的; 古老的
an, conj.和; 又; 而
anecdot, n.逸事; 趣闻
ange, n.怒; 愤怒
angl, n.角度
angr, a.生气的; 愤怒的
anima, n.动物
ankl, n.踝; 踝关节
anniversar, n.周年纪念日
announc, vt.宣布; 宣告
announcemen, n.通告; 通知
anno, vt.烦恼
annua, a.每年的; 年度的; 一年一次的
anothe, a.再一; 另一; 别的; 不同的
answe, n.回答;答复;回信;答案
an, n.蚂蚁
antiqu, n.古董
anxiet, n.担忧; 焦虑
anxiou, a.忧虑的; 焦急的
an, pron.哪一个; 哪些任何的; 一些; 什么
anybod, pron.任何人; 无论谁
anyho, ad.不管怎样
anyon, pron.任何人; 无论谁
anythin, pron.什么事; 任何事
anyw, yad.不管怎样
anywher, ad.任何地方
apar, a,[a.相隔; 相距; 除外
apartmen, n.楼中单元房; 一套房间; 房间
apologiz, vi.道歉; 谢罪
apolog, n.道歉; 歉意
apparen, a.显而易见
appea, v.上诉; 申诉; 吸引力
appea, vi.出现
appearanc, n.出现; 露面; 容貌
appendi, n.附录; 阑尾
appetit, n.食欲; 胃口
applau, v.&n.鼓掌;赞许;赞赏
appl, n.苹果
applican, n.申请人
applicatio, n.申请
appl, v.申请
appoin, v.任命; 委任; 安排; 确定
appointmen, n.约会
appreciat, v.欣赏; 感激
appreciatio, n.欣赏;鉴定;评估
approac, n.&v.靠近; 接近; 建议; 要求
appropriat, a.合适的; 恰当的
approv, v.赞成;同意;批准;通过
approximatel, ad.近似; 大约
apro, n.停机坪
arbitrar, a.随心所欲的; 独裁的; 专断的
arc, n.拱; 拱门
architec, n.建筑师; 设计师
architectur, n.建筑学; 建筑设计; 风格
ar, v.是
are, n.面积; 地域; 地方; 区域; 范围; 领域
argu, vi.争辩; 争论
argumen, n.争论; 辩论
aris, vi.起来; 升起; 出现
arise, vi.起来; 升起; 出现
arithmeti, n.算术
ar, n.臂;支架
armchai, n.扶手椅
arm, n.军队
aros, vi.起来; 升起; 出现
aroun, ad.在周围; 在附近
arrang, v.安排; 布置
arrangemen, n.安排; 布置
arres, v.逮捕; 拘留
arriva, n.到来; 到达
arriv, vi.到达; 达到
arro, n.箭; 箭头
ar, n.艺术; 美术; 技艺
articl, n.文章;东西;物品;冠词
artificia, a.人工的; 人造的
artis, n.艺术家
