Afric, n.非洲
Americ, n.美国
Augus, n.八月
Australi, n.澳大利亚
Australia, adj.澳大利亚人
BASI, n.(电脑)初学者通用符号指令码
Berli, n.柏林
Bosto, n.波士顿(美国马萨诸塞州的首府)
Brazi, n.巴西
Britai, n.英国，不列颠
Britis, adj.英国人的
CD playe, phr.激光唱机
Canad, 加拿大
Canadia, n.加拿大人
Cano, n.佳能（照相机牌名）
Chin, n. 中国
Chines, adj. 中国的;中国人的；n. 中国人;汉语
Christma, n.圣诞节
DV, n.光碟;影碟
Decembe, n.十二月
Englan, n. 英格兰
Englis, n. & adj. 英语;英国人
Englishma, n(pl.Englishmen)英国(男)人
Februar, n. 二月
Franc, n.法国
Frenc, n.法语
Frenchma, n.法国人
Frida, n.星期五
German, n.德国
Gobi Deser, n.戈壁沙漠
Here you ar, phr. 给你
Hong Kon, n. 香港
How are you？; 询问句 你(身体)好吗?
How do you do ?; phr. 你好!
, pron. 我
I'l, I will 的缩写形式
I', phr. I am 的缩写形式
I, n. 身份征
India, n. & adj.印度人(的);印第安人(的)
Interne, n.因特网，互联网络
It', phr. it is 的缩写形式
Italia, n. & adj.意大利人(的);意大利语(的)
Ital, n.意大利
It, pron. 它的
Januar, n.一月
Japa, n.日本
Japanes, adj. 日本的;日本人；n. 日本人，日语
Jul, n.七月
Jun, n.六月
Let me se, phr. 让我想想
Let's g, phr. 我们一起去
Londo, n. 伦敦
Maca, n. 澳门
Marc, n.三月
Microsof, n. 微软公司
Mis, n. 女士;小姐(对未婚妇女的称呼)
Monda, n.星期一
Mosco, n.莫斯科
M, n. 先生(用于姓名前)
Mr, n. 夫人
M, n.女士(用于婚姻状况不明的女名)
New Yor, n.纽约
N, n. number 的缩写形式
Novembe, n.十一月
O, adv. (口语)好;对;不错;可以
Octobe, n.十月
Olympi, adj.奥林匹克的
P, n. 体育
Peking oper, n.京剧
Rom, n.罗马(意大利首都)
Russia, n & adj. 俄国的;俄国人(的); 俄语(的)
SA, n. 特别行政区
Saturda, n.星期六
Scotlan, n.苏格兰
Septembe, n.九月
Spring Festiva, n.春节
Sunda, n.星期日
Sydne, n. 悉尼
T-shir, n. 短袖无领汗衫;T恤(衫)
T, n. 电视;电视机
Thanksgiving&=&Thanksgiving Da, phr.感恩节
This wa,please.; phr. 请走这边
Thursda, n.星期四
Titani, n.泰坦尼克(船名)
Toky, n. 东京
Toront, n.多伦多(加拿大港市)
Tuesda, n. 星期二
Turke, n.土耳其
US, n.美国
Washingto, n. 华盛顿
Wednesda, n.星期三
What about...?; phr. (询问消息;征求意 见)…怎么样?
Young Pionee, n. 少先队员
, art. 一(个;件...)
a TV se, phr.一台电视
a bi, phr.一点儿
a bit (of); phr.少量(的);一点
a bottle o, phr. 一瓶...
a fe, phr.一些;几个
a place of interes, phr.名胜
a.m.; n. 午前;上午
abl, adj.有能力的，能干的
abou, adv. 大约
abov, prep.在...上面
abroa, adv.到国外；在国外
acciden, n.事故;灾难
acros, prep.穿过;横过
activ, adj. 积极的
activit, n.活动
a, n.广告
addres, n. 地址
aeroplan, n.飞机
affor, v. 有足够的(钱/时间)做(某事)
afrai, adj.害怕的
afte, prep. 在...以后;在...后面
after a whil, phr.过了一会儿
afternoo, n. 下午;午后
agai, adv.又;再
again and agai, phr.再三地;一再地;反复地
agains, prep.与…对抗，对着
ag, n. 年龄
agre, v.同意;赞成
ai, n.天空;空气
alik, adj.相似的，相像的
aliv, adj.活着的
al, adv.全体;全部
all by onesel, phr.独立;单独
all ove, phr.遍及
all righ, phr. 好;行;不错
all the year roun, phr.一年到头
allo, v.允许，准许
almos, adv. 几乎;差不多
alon, adv.独自的;单独的
alon, prep.沿着;顺着 一起;一道
alread, adv.已经
als, adv.也
althoug, conj.虽然；尽管
a, v. 是
amaz, v.使…大为惊讶，使惊
amazin, adj.令人惊奇的
amon, prep.在……当中
a, art. 一(个;件.)
an, conj. 和;又;而
ange, n.天使，守护神
angr, adj.发怒的;生气的
anima, n. 动物
anothe, adj&conj.另一个(的);又一个(的)
answe, v. 回答
an, adj. (用于否定句;疑问句等)什么;任何
any mor, phr.再;更
anybod, pron.任何人
anyon, pron.任何人
anythin, pron.任何事(物)
anytim, adv.在任何时候
anywher, adv.任何地方
appea, v.出现，露面
appl, n. 苹果
ar, v. 是
aren', are not 的缩写形式
ar, n. 手臂;胳膊
aroun, prep.在...周围;环绕着
arriv, v.到达;抵达某地
ar, n.艺术;艺术品
artis, n.画家;艺术家
a, prep.作为
as i, conj.好像，似乎
as soon a, conj.一...就
as wel, adv.又，同样地
as, v. 问
aslee, adj.睡着的;熟睡的
assistan, n.助手;助理
a, prep. 在
at al, phr.（用否定句）一点也不
at hom, phr. 在家
at las, phr.终于，最后
at leas, phr.至少，起码
at midnigh, phr.在半夜
at onc, phr.立刻;马上
at schoo, phr. 在学校
at se, phr.在大海上
at the beginning o, phr.…起初，开始
at the end o, phr.在...结尾;到...尽头
at the head o, phr.在...的最前
at the momen, phr.此刻
at time, phr.有时;偶尔
at wor, phr. 在工作
attac, n & v 攻击，袭击
attrac, v.吸引
audienc, n.听众
aun, n. 姨母;舅母;姑母;伯母;婶母
autum, n.秋天;秋季
awak, adj.清醒的
awa, adv.离开
bab, n.婴儿;幼畜
bac, n.背部;后面
ba, adj.坏的
badl, adv.严重地，恶劣地
ba, n. 书包
bake, n.面包师
bal, n. 球
bambo, n.竹子
banan, n. 香蕉
ban, v. 猛敲;猛撞;砰砰作响
ban, n.(海;河;湖的)岸;堤
bar, n.谷仓，堆物房；马房，牛舍
bas, v.以…作根据，基于
base o, phr.以…（为）根据
basebal, n.棒球
baske, n. 篮子
basketbal, n.蓝球
b, v.(a,i,are)是;成为
be afraid o, phr.害怕
be awak, phr.醒着的
be busy doin, phr.忙于做…
be excited abou, phr.对…感到兴奋
be famous fo, phr.因...而有名的
be filled wit, phr.用…充满
be full (of); (phr. 充满....的
be late fo, phr.迟到
be made i, phr.在…生产或制造
be made o, phr.由…组成，由…构成
be pleased wit, phr.对…感到满意
be proud o, phr.以……自豪（兴奋）
be used fo, phr.用于
be/get los, phr.迷失(道路)
beac, n.海（河、湖）滩
bea, n.熊
bea, v.打败，敲打
beautifu, adj.美丽的;漂亮的
becaus, conj.因为
becom, v.变得;变成;成为
be, n. 床
bedroo, n. 卧室
bee, n.牛肉
beepe, n.袖珍无线电传呼机;电话呼叫机
bee, n.啤酒
befor, prep&adv.在..之前;以前
before lon, phr.不久以后
be, v.恳求，乞求
beg one's pardo, phr.请原谅，对不起
begi, v.开始;着手
beginnin, n.开始，开端
behin, prep. 在...后面
believ, v.相信;认为
belo, prep.在...下;低于
besid, prep. 在...旁边
bes, adj&adv.最好的(地)
bette, adj.(good或well的比较级)更好的
betwee, prep. 在(两者)之间
bi, adj. 大的
bik, n. 自行车
