Chinese book, n.语文书
English book, n.英语书
French fries, n.薯条
Miss, n.小姐
Mr., n.先生
TV reporter, n.电视台记者
actor, n.男演员
actress, n.女演员
ant, n.蚂蚁
apple, n.苹果
arm, n.手臂
artist, n.画家
assistant, n.售货员
aunt, n.阿姨
baby, n.婴儿
bag, n.包
banana, n.香蕉
baseball player, n.棒球运动员
bear, n.熊
beef, n.牛肉
bird, n.鸟
biscuit, n.饼干
black, adj.黑
blue, adj.蓝
book, n.书
boy, n.男孩
bread, n.面包
breakfast, n.早餐
brother, n.兄弟
brown, adj.棕色
cabbage, n.卷心菜
cake, n.蛋糕
carrot, n.胡萝卜
cat, n.猫
cherry, n.樱桃
chicken, n.鸡肉
classmate, n.同学
cleaner, n.清洁工
coconut, n.椰子
coffee, n.咖啡
cola, n.可乐
cousin, n.堂兄妹
cow, n.奶牛
crayon, n.蜡笔
cucumber, n.黄瓜
dad, n.爸爸
deer, n.鹿
dictionary, n.词典
dinner, n.晚餐
doctor, n.医生
dog, n.狗
driver, n.司机
duck, n.鸭
dumplings, n.饺子
ear, n.耳朵
egg, n.鸡蛋
eggplant, n.茄子
elephant, n.大象
engineer, n.工程师
eraser, n.橡皮
eye, n.眼睛
face, n.脸
farmer, n.农民
father, n.父亲
finger, n.手指
fish, n.鱼
foot, n.脚
fox, n.狐狸
friend, n.朋友
fruit, n.水果
giraffe, n.长颈鹿
girl, n.女孩
goat, n.山羊
goose, n.鹅
grandfather, n.（外）祖父
grandma, n.（外）祖母
grandmother, n.（外）祖母
grandpa, n.（外）祖父
grape, n.葡萄
green, adj.绿
green beans, n.青豆
hair, n.头发
hamburger, n.汉堡
hand, n.手
head, n.头
hen, n.母鸡
horse, n.马
hot dog, n.热狗
ice-cream, n.冰淇淋
jam, n.果酱
juice, n.果汁
kangaroo, n.袋鼠
kid, n.小孩
lady, n.女士
lamb, n.小羊
leg, n.腿
lemon, n.柠檬
lion, n.狮
lunch, n.中餐
magazine, n.杂志
man, n.男人
mango, n.芒果
math book, n.数学书
meat, n.肉
milk, n.牛奶
mom, n.妈妈
monkey, n.猴子
mother, n.母亲
mouse, n.鼠
mouth, n.嘴
mutton, n.羊肉
neighbour, n.邻居
newspaper, n.报纸
noodles, n.面条
nose, n.鼻子
notebook, n.笔记本
nurse, n.护士
onion, n.洋葱
orange, n.橙
panda, n.熊猫
parents, n.父母
pea, n.豌豆
peach, n.桃
pear, n.梨
pen, n.钢笔
pen pal, n.笔友
pencil, n.铅笔
pencil-case, n.铅笔盒
people, n.人物
pig, n.猪
pink, adj.粉红
policeman, n.（男）警察
pork, n.猪肉
post card, n.明信片
potato, n.土豆
principal, n.校长
pumpkin, n.南瓜
purple, adj.紫色
queen, n.女王
rabbit, n.兔子
red, adj.红
rice, n.米饭
robot, n.机器人
ruler, n.尺子
salad, n.沙拉
salesperson, n.销售员
sandwich, n.三明治
sausage, n.香肠
schoolbag, n.书包
seal, n.海豹
shark, n.鲨鱼
sharpener, n.卷笔刀
sheep, n.绵羊
singer, n.歌唱家
sister, n.姐妹
snake, n.蛇
son, n.儿子
soup, n.汤
story-book, n.故事书
strawberry, n.草莓
student, n.学生
sweet potato, n.红薯
tail, n.尾巴
tea, n.茶
teacher, n.教师
tiger, n.老虎
tomato, n.西红柿
tourist, n.旅行者
turkey, n.火鸡
uncle, n.叔叔
vegetable, n.蔬菜
visitor, n.参观者
water, n.水
watermelon, n.西瓜
white, adj.白
woman, n.女人
writer, n.作家
yellow, adj.黄
zebra, n.斑马
